Product Name,New Prices,Category,Type,Image URL(s),Stock Quantity,Description,Product Buy Link,Size/Color Variants,Gender,
Oxxo Slim Fit Round-Neck Crop Pullover,1499,Clothing,Sweaters & Cardigans,https://assets.ajio.com/medias/sys_master/root/20240319/Dn66/65f94ef505ac7d77bbc48573/oxxo_cream_slim_fit_round-neck_crop_pullover.jpg,279,Premium quality Sweaters & Cardigans at an unbeatable discounted price — grab it before stock runs out.,https://www.ajio.com/oxxo-slim-fit-round-neck-crop-pullover/p/469291247_cream,cream,Women,
I Saw It First Off-Shoulder Bodysuit with Tie-Up,1399,Clothing,Jumpsuits &Playsuits,https://assets.ajio.com/medias/sys_master/root/20230517/s9YV/646514bcd55b7d0c63bf1aaa/i_saw_it_first_green_off-shoulder_bodysuit_with_tie-up.jpg,205,Premium quality Jumpsuits &Playsuits at an unbeatable discounted price — grab it before stock runs out.,https://www.ajio.com/i-saw-it-first-off-shoulder-bodysuit-with-tie-up/p/469179741_lilac,lilac,Women,
Y-LONDON Jumpsuit with Shawl Collar,2799,Clothing,Jumpsuits &Playsuits,https://assets.ajio.com/medias/sys_master/root/20230102/SZWg/63b312d8f997ddfdbd0ad49d/y-london_khaki_jumpsuit_with_shawl_collar.jpg,287,Premium quality Jumpsuits &Playsuits at an unbeatable discounted price — grab it before stock runs out.,https://www.ajio.com/y-london-jumpsuit-with-shawl-collar/p/469372061_khaki,khaki,Women,
TRENDYOL Cropped Sweatshirt with Drop-Shoulder Sleeves,2099,Clothing,Sweatshirt & Hoodies,https://assets.ajio.com/medias/sys_master/root/20230518/Fbbi/64665cc7d55b7d0c63c4acf0/trendyol_indigo_cropped_sweatshirt_with_drop-shoulder_sleeves.jpg,391,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/trendyol-cropped-sweatshirt-with-drop-shoulder-sleeves/p/460957486_indigo,indigo,Women,
TALLY WEiJL Heathered Scoop-Neck Bodycon Dress,1699,Clothing,Dresses,https://assets.ajio.com/medias/sys_master/root/20220722/1YSy/62d9a683aeb26921af8d83d0/tally_weijl_grey_heathered_scoop-neck_bodycon_dress.jpg,158,Elegant dress with a flattering silhouette — perfect for any occasion.,https://www.ajio.com/tally-weijl-heathered-scoop-neck-bodycon-dress/p/469231211_grey,grey,Women,
Colin's Full-Sleeve Spread-Collar Shirt,1899,Clothing,Shirts,https://assets.ajio.com/medias/sys_master/root/20230516/EDUl/6463a378d55b7d0c63b9ac3c/colin%27s_white_full-sleeve_spread-collar_shirt.jpg,359,Classic regular-fit shirt with clean collar — versatile for both office and casual outings.,https://www.ajio.com/colin-s-full-sleeve-spread-collar-shirt/p/469348205_white,white,Women,
TRENDYOL Graphic Print Hoodie with Kangaroo Pocket,2599,Clothing,Sweatshirt & Hoodies,https://assets.ajio.com/medias/sys_master/root/20211014/gavF/61684b43f997ddf8f1d1dc1d/trendyol_khaki_graphic_print_hoodie_with_kangaroo_pocket.jpg,340,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/trendyol-graphic-print-hoodie-with-kangaroo-pocket/p/469038553_khaki,khaki,Women,
Oxxo Halter-Neck Bodycon Dress,3099,Clothing,Dresses,https://assets.ajio.com/medias/sys_master/root/20221125/Epjj/6380d8f2aeb269659cb594f9/oxxo_yellow_halter-neck_bodycon_dress.jpg,166,Elegant dress with a flattering silhouette — perfect for any occasion.,https://www.ajio.com/oxxo-halter-neck-bodycon-dress/p/469291200_yellow,yellow,Women,
Oxxo Cropped V-neck Sweatshirt,1699,Clothing,Sweatshirt & Hoodies,https://assets.ajio.com/medias/sys_master/root/20221125/2FDg/6380ff08aeb269659cb6fb0b/oxxo_black_cropped_v-neck_sweatshirt.jpg,353,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/oxxo-cropped-v-neck-sweatshirt/p/469291018_black,black,Women,
Glamorous Strappy Ribbed Top with Deep Back,1499,Clothing,Tops,https://assets.ajio.com/medias/sys_master/root/20230914/Lynm/650342ceddf7791519d9e5d3/glamorous_yellow_strappy_ribbed_top_with_deep_back.jpg,161,"Trendy top with a chic design — pairs well with jeans, skirts, or palazzos.",https://www.ajio.com/glamorous-strappy-ribbed-top-with-deep-back/p/460084266_yellow,yellow,Women,
Glamorous Floral Print Round-Neck Bodysuit,1799,Clothing,Tops,https://assets.ajio.com/medias/sys_master/root/20230914/ajCT/650328dcafa4cf41f5e528c8/glamorous_multicoloured_floral_print_round-neck_bodysuit.jpg,284,"Trendy top with a chic design — pairs well with jeans, skirts, or palazzos.",https://www.ajio.com/glamorous-floral-print-round-neck-bodysuit/p/460971926_printed,printed,Women,
Sateen High-Neck Top with Puff Sleeves,2299,Clothing,Tops,https://assets.ajio.com/medias/sys_master/root/20230720/v5RZ/64b954f8eebac147fc7eeb43/sateen_black_high-neck_top_with_puff_sleeves.jpg,188,"Trendy top with a chic design — pairs well with jeans, skirts, or palazzos.",https://www.ajio.com/sateen-high-neck-top-with-puff-sleeves/p/469049788_black,black,Women,
Mavi Women Ribbed Slim Fit Crop Top,1899,Clothing,Tops & Tshirts,https://assets.ajio.com/medias/sys_master/root/20220912/Epel/631f4892f997dd1f8df7269a/mavi_grey_women_ribbed_slim_fit_crop_top.jpg,287,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/mavi-women-ribbed-slim-fit-crop-top/p/469187588_greymelange,greymelange,Men,
Glamorous Ribbed Fitted Frill Trim T-shirt,1699,Clothing,Tops,https://assets.ajio.com/medias/sys_master/root/20230914/2S1B/65033f0cddf7791519d9cb3b/glamorous_pink_ribbed_fitted_frill_trim_t-shirt.jpg,167,"Trendy top with a chic design — pairs well with jeans, skirts, or palazzos.",https://www.ajio.com/glamorous-ribbed-fitted-frill-trim-t-shirt/p/460972019_pink,pink,Women,
Xint Floral Print Shirt Dress,2499,Clothing,Dresses,https://assets.ajio.com/medias/sys_master/root/20230914/EdFd/650321ecafa4cf41f5e50187/xint_white_floral_print_shirt_dress.jpg,332,Elegant dress with a flattering silhouette — perfect for any occasion.,https://www.ajio.com/xint-floral-print-shirt-dress/p/469490395_pinkwhite,pinkwhite,Women,
Xint Crew Neck Regular Fit T-shirt,1699,Clothing,Tshirts,https://assets.ajio.com/medias/sys_master/root/20230914/nYs8/6503325bafa4cf41f5e561ca/xint_blue_crew_neck_regular_fit_t-shirt.jpg,170,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/xint-crew-neck-regular-fit-t-shirt/p/469490527_blue,blue,Women,
I Saw It First Colourblock Leotard Top with Cutout,1899,Clothing,Tops,https://assets.ajio.com/medias/sys_master/root/20220617/0232/62ac6d50aeb26921af34d906/i_saw_it_first_grey_%26_blue_colourblock_leotard_top_with_cutout.jpg,389,"Trendy top with a chic design — pairs well with jeans, skirts, or palazzos.",https://www.ajio.com/i-saw-it-first-colourblock-leotard-top-with-cutout/p/469179957_khaki,khaki,Women,
Wknd Schiffli A-Line Dress,2199,Clothing,Dresses,https://assets.ajio.com/medias/sys_master/root/20230601/j7M5/6478238dd55b7d0c632fbe8d/wknd_black_schiffli_a-line_dress.jpg,214,Elegant dress with a flattering silhouette — perfect for any occasion.,https://www.ajio.com/wknd-schiffli-a-line-dress/p/469403675_black,black,Women,
Barrels And Oil Graphic Print Crew-Neck Sweatshirt,1499,Clothing,Sweatshirt & Hoodies,https://assets.ajio.com/medias/sys_master/root/20221226/tgrl/63a94207aeb269659c0adb80/barrels_and_oil_brown_graphic_print_crew-neck_sweatshirt.jpg,219,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/barrels-and-oil-graphic-print-crew-neck-sweatshirt/p/469047948_lightbrown,lightbrown,Women,
Oxxo Knot-Front Top with Lace Trim,1699,Clothing,Tops,https://assets.ajio.com/medias/sys_master/root/20221125/UftU/6380ff67aeb269659cb6fe5c/oxxo_white_knot-front_top_with_lace_trim.jpg,156,"Trendy top with a chic design — pairs well with jeans, skirts, or palazzos.",https://www.ajio.com/oxxo-knot-front-top-with-lace-trim/p/469291489_white,white,Women,
TRENDYOL Floral Print Fit and Flare Dress,3099,Clothing,Dresses,https://assets.ajio.com/medias/sys_master/root/20221125/y6rI/6380f072f997ddfdbd9eae82/trendyol_navy_blue_floral_print_fit_and_flare_dress.jpg,369,Elegant dress with a flattering silhouette — perfect for any occasion.,https://www.ajio.com/trendyol-floral-print-fit-and-flare-dress/p/469229998_navy,navy,Women,
TALLY WEiJL Floral Print V-Neck Top,1399,Clothing,Tops,https://assets.ajio.com/medias/sys_master/root/20220722/weMl/62d9a589aeb26921af8d803c/tally_weijl_orange_floral_print_v-neck_top.jpg,335,"Trendy top with a chic design — pairs well with jeans, skirts, or palazzos.",https://www.ajio.com/tally-weijl-floral-print-v-neck-top/p/469231274_whiteyellow,whiteyellow,Women,
LC Waikiki Typographic Print Crew-Neck T-Shirt,1699,Clothing,Tshirts,https://assets.ajio.com/medias/sys_master/root/20230612/ACjq/6487386442f9e729d73aa826/lc_waikiki_pink_typographic_print_crew-neck_t-shirt.jpg,302,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/lc-waikiki-typographic-print-crew-neck-t-shirt/p/469252681_pink,pink,Women,
TRENDYOL Heathered Crew-Neck Sweatshirt,1999,Clothing,Sweatshirt & Hoodies,https://assets.ajio.com/medias/sys_master/root/20221125/lIto/6380df2cf997ddfdbd9e0852/trendyol_grey_heathered_crew-neck_sweatshirt.jpg,356,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/trendyol-heathered-crew-neck-sweatshirt/p/469277758_grey,grey,Women,
TRENDYOL Hooded Sweatshirt with Kangaroo Pocket,1699,Clothing,Sweatshirt & Hoodies,https://assets.ajio.com/medias/sys_master/root/20220921/h5tU/632b45f2aeb269dbb39d57d9/trendyol_orange_hooded_sweatshirt_with_kangaroo_pocket.jpg,197,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/trendyol-hooded-sweatshirt-with-kangaroo-pocket/p/469160976_orange,orange,Women,
Colin's Floral Print Tiered Dress,2199,Clothing,Dresses,https://assets.ajio.com/medias/sys_master/root/20230516/eZtf/6463adc842f9e729d78d5f26/colin%27s_green_floral_print_tiered_dress.jpg,307,Elegant dress with a flattering silhouette — perfect for any occasion.,https://www.ajio.com/colin-s-floral-print-tiered-dress/p/469348209_green,green,Women,
Glamorous V-Neck Top with Cold-Shoulder Sleeves,3199,Clothing,Tops,https://assets.ajio.com/medias/sys_master/root/20230914/UOQL/650337f4afa4cf41f5e5eac6/glamorous_white_v-neck_top_with_cold-shoulder_sleeves.jpg,390,"Trendy top with a chic design — pairs well with jeans, skirts, or palazzos.",https://www.ajio.com/glamorous-v-neck-top-with-cold-shoulder-sleeves/p/460918913_offwhite,offwhite,Women,
Wknd Geometric Print High-Neck Top,999,Clothing,Tops,https://assets.ajio.com/medias/sys_master/root/20221123/RQAs/637e45fdaeb269659cace8ba/wknd_black_geometric_print_high-neck_top.jpg,293,"Trendy top with a chic design — pairs well with jeans, skirts, or palazzos.",https://www.ajio.com/wknd-geometric-print-high-neck-top/p/469223447_black,black,Women,
I Saw It First Printed Top with Off-Shoulder Sleeves,1099,Clothing,Tops,https://assets.ajio.com/medias/sys_master/root/20220912/YYgq/631f497aaeb269dbb38391ad/i_saw_it_first_white_printed_top_with_off-shoulder_sleeves.jpg,262,"Trendy top with a chic design — pairs well with jeans, skirts, or palazzos.",https://www.ajio.com/i-saw-it-first-printed-top-with-off-shoulder-sleeves/p/469188712_blue,blue,Women,
Mavi Women Typographic Print Crew-Neck Fitted T-Shirt,1399,Clothing,Tshirts,https://assets.ajio.com/medias/sys_master/root/20240305/2zHc/65e72f5e05ac7d77bb98996a/mavi_black_women_typographic_print_crew-neck_fitted_t-shirt.jpg,341,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/mavi-women-typographic-print-crew-neck-fitted-t-shirt/p/469608530_black,black,Men,
Na-kd Square Neck Shift Dress,2999,Clothing,Dresses,https://assets.ajio.com/medias/sys_master/root/20220915/LWCK/63234327aeb269dbb38d6a4b/na-kd_black_square_neck_shift_dress.jpg,347,Elegant dress with a flattering silhouette — perfect for any occasion.,https://www.ajio.com/na-kd-square-neck-shift-dress/p/469276851_black,black,Women,
ZELZIS Women Floral Print Regular Fit Top,2499,Clothing,Tops,https://assets.ajio.com/medias/sys_master/root/20250313/9HOx/67d2b2f42960820c49e988a1/zelzis_off-white_women_floral_print_regular_fit_top.jpg,150,"Trendy top with a chic design — pairs well with jeans, skirts, or palazzos.",https://www.ajio.com/zelzis-women-floral-print-regular-fit-top/p/701328594_offwhite,offwhite,Men,
Glamorous Strappy Sleeve Top with Shirring Detail,1699,Clothing,Tops,https://assets.ajio.com/medias/sys_master/root/20230914/jW1I/65032adcddf7791519d8dda6/glamorous_black_strappy_sleeve_top_with_shirring_detail.jpg,201,"Trendy top with a chic design — pairs well with jeans, skirts, or palazzos.",https://www.ajio.com/glamorous-strappy-sleeve-top-with-shirring-detail/p/460971878_black,black,Women,
Koton Ribbed V-neck Ruched Top,1099,Clothing,Tshirts,https://assets.ajio.com/medias/sys_master/root/20220921/tYnJ/632b32c5aeb269dbb39ce253/koton_blue_ribbed_v-neck_ruched_top.jpg,165,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/koton-ribbed-v-neck-ruched-top/p/469253297_blue,blue,Women,
Oxxo Ombre-Dyed Cardigan with Tie-Up,1899,Clothing,Sweaters & Cardigans,https://assets.ajio.com/medias/sys_master/root/20230518/RS24/6466529642f9e729d7982fd0/oxxo_multicoloured_ombre-dyed_cardigan_with_tie-up.jpg,256,Premium quality Sweaters & Cardigans at an unbeatable discounted price — grab it before stock runs out.,https://www.ajio.com/oxxo-ombre-dyed-cardigan-with-tie-up/p/469291179_multicolor,multicolor,Women,
Xint Crew Neck Regular Fit T-shirt,1399,Clothing,Tshirts,https://assets.ajio.com/medias/sys_master/root/20230914/yLHv/65033615ddf7791519d98c07/xint_navy_blue_crew_neck_regular_fit_t-shirt.jpg,266,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/xint-crew-neck-regular-fit-t-shirt/p/469490510_navyblue,navyblue,Women,
TRENDYOL Sleeveless A-line Dress,2299,Clothing,Dresses,https://assets.ajio.com/medias/sys_master/root/20230518/SYjA/646667a942f9e729d798f090/trendyol_camel_brown_sleeveless_a-line_dress.jpg,396,Elegant dress with a flattering silhouette — perfect for any occasion.,https://www.ajio.com/trendyol-sleeveless-a-line-dress/p/460848740_camel,camel,Women,
I Saw It First Printed Wrap Top,2099,Clothing,Tops,https://assets.ajio.com/medias/sys_master/root/20220912/dJvz/631f5c3aaeb269dbb38424e7/i_saw_it_first_blue_printed_wrap_top.jpg,296,"Trendy top with a chic design — pairs well with jeans, skirts, or palazzos.",https://www.ajio.com/i-saw-it-first-printed-wrap-top/p/469179902_blue,blue,Women,
Oxxo Floral Print Fit & Flare Dress,3299,Clothing,Dresses,https://assets.ajio.com/medias/sys_master/root/20230518/ACVi/646653a042f9e729d798369c/oxxo_yellow_floral_print_fit_%26_flare_dress.jpg,178,Elegant dress with a flattering silhouette — perfect for any occasion.,https://www.ajio.com/oxxo-floral-print-fit--flare-dress/p/469291454_green,green,Women,
TRENDYOL Floral Print Empire Dress,2299,Clothing,Dresses,https://assets.ajio.com/medias/sys_master/root/20230519/fJew/64668990d55b7d0c63c60316/trendyol_multicoloured_floral_print_empire_dress.jpg,218,Elegant dress with a flattering silhouette — perfect for any occasion.,https://www.ajio.com/trendyol-floral-print-empire-dress/p/460848744_multicolour,multicolour,Women,
Na-kd Ruched A-Line Dress,2999,Clothing,Dresses,https://assets.ajio.com/medias/sys_master/root/20221125/Q5um/6380dbe2aeb269659cb5aeb3/na-kd_blue_ruched_a-line_dress.jpg,179,Elegant dress with a flattering silhouette — perfect for any occasion.,https://www.ajio.com/na-kd-ruched-a-line-dress/p/469293997_lightblue,lightblue,Women,
Mavi Striped Shirt with Spread Collar,2299,Clothing,Shirts,https://assets.ajio.com/medias/sys_master/root/20210528/i4M7/60b11208f997ddb312ad333f/mavi_indigo_striped_shirt_with_spread_collar.jpg,305,Classic regular-fit shirt with clean collar — versatile for both office and casual outings.,https://www.ajio.com/mavi-striped-shirt-with-spread-collar/p/460900893_indigo,indigo,Women,
Oxxo Long kimono with button Closure,3299,Clothing,Shrugs & Jackets,https://assets.ajio.com/medias/sys_master/root/20230724/1QiL/64be9811a9b42d15c96b3c7f/oxxo_green_long_kimono_with_button_closure.jpg,366,Stylish jacket with a modern cut — adds an instant edge to any outfit.,https://www.ajio.com/oxxo-long-kimono-with-button-closure/p/469291373_green,green,Women,
Oxxo Printed Tailored Fit Off-Shoulder Top,1399,Clothing,Tops,https://assets.ajio.com/medias/sys_master/root/20220915/9OYG/6323432faeb269dbb38d6b9a/oxxo_blue_printed_tailored_fit_off-shoulder_top.jpg,158,"Trendy top with a chic design — pairs well with jeans, skirts, or palazzos.",https://www.ajio.com/oxxo-printed-tailored-fit-off-shoulder-top/p/469151116_blue,blue,Women,
Hailys Floral Print High-Neck Tiered A-line Dress,2599,Clothing,Dresses,https://assets.ajio.com/medias/sys_master/root/20211208/1WFA/61aff5e8f997ddf8f14656fd/hailys_off-white_floral_print_high-neck_tiered_a-line_dress.jpg,393,Elegant dress with a flattering silhouette — perfect for any occasion.,https://www.ajio.com/hailys-floral-print-high-neck-tiered-a-line-dress/p/469054514_offwhite,offwhite,Women,
Oxxo Mid-Rise Slim Fit Jeans,2199,Clothing,Jeans & Jeggings,https://assets.ajio.com/medias/sys_master/root/20221125/4H61/6380d356aeb269659cb560d3/oxxo_black_mid-rise_slim_fit_jeans.jpg,273,Stylish jeans with a comfortable fit and durable fabric — a wardrobe essential.,https://www.ajio.com/oxxo-mid-rise-slim-fit-jeans/p/469291117_black,black,Women,
Mavi Women Graphic Print Fitted Round-Neck T-Shirt,1399,Clothing,Tshirts,https://assets.ajio.com/medias/sys_master/root/20240305/RhcX/65e730c005ac7d77bb98a031/mavi_twilight_blue_women_graphic_print_fitted_round-neck_t-shirt.jpg,253,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/mavi-women-graphic-print-fitted-round-neck-t-shirt/p/469608542_blue,blue,Men,
Barrels And Oil Floral Print Tiered Maxi Dress,2999,Clothing,Dresses,https://assets.ajio.com/medias/sys_master/root/20221226/UgXN/63a93f8caeb269659c0a8a1a/barrels_and_oil_lilac_floral_print_tiered_maxi_dress.jpg,384,Elegant dress with a flattering silhouette — perfect for any occasion.,https://www.ajio.com/barrels-and-oil-floral-print-tiered-maxi-dress/p/460911236_purple,purple,Women,
Glamorous Floral Print A-line Dress with Neck Tie-Up,2599,Clothing,Dresses,https://assets.ajio.com/medias/sys_master/root/20230914/h0ac/6503253eafa4cf41f5e515bb/glamorous_white_floral_print_a-line_dress_with_neck_tie-up.jpg,194,Elegant dress with a flattering silhouette — perfect for any occasion.,https://www.ajio.com/glamorous-floral-print-a-line-dress-with-neck-tie-up/p/460972071_printed,printed,Women,
Oxxo Kimono Cotton Jacket with Belt,3299,Clothing,Jackets & Coats,https://assets.ajio.com/medias/sys_master/root/20230519/E3tZ/646675d9d55b7d0c63c53fae/oxxo_beige_kimono_cotton_jacket_with_belt.jpg,345,Stylish jacket with a modern cut — adds an instant edge to any outfit.,https://www.ajio.com/oxxo-kimono-cotton-jacket-with-belt/p/469291390_beige,beige,Women,
Oxxo Striped Skinny Fit Capris with Pocket Inserts,1999,Clothing,Trousers & Pants,https://assets.ajio.com/medias/sys_master/root/20221125/FP72/6380d284f997ddfdbd9d8d0f/oxxo_navy_blue_striped_skinny_fit_capris_with_pocket_inserts.jpg,272,Well-tailored trousers with a clean finish — ideal for formal and semi-formal occasions.,https://www.ajio.com/oxxo-striped-skinny-fit-capris-with-pocket-inserts/p/469291415_multicolor,multicolor,Women,
Xint Knitted Round-Neck Top,1799,Clothing,Tops,https://assets.ajio.com/medias/sys_master/root/20230914/SDwl/65032adcafa4cf41f5e5354a/xint_blue_knitted_round-neck_top.jpg,262,"Trendy top with a chic design — pairs well with jeans, skirts, or palazzos.",https://www.ajio.com/xint-knitted-round-neck-top/p/469490619_blue,blue,Women,
TRENDYOL Typographic Print Crew-Neck T-shirt,1199,Clothing,Tshirts,https://assets.ajio.com/medias/sys_master/root/20230518/xwqX/6466448242f9e729d797d253/trendyol_white_typographic_print_crew-neck_t-shirt.jpg,365,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/trendyol-typographic-print-crew-neck-t-shirt/p/460615012_white,white,Women,
TRENDYOL Colourblock Hoodie with Kangaroo Pocket,2299,Clothing,Sweatshirt & Hoodies,https://assets.ajio.com/medias/sys_master/root/20221012/eYB0/6346d592f997ddfdbd239577/trendyol_mustard_yellow_%26_navy_blue_colourblock_hoodie_with_kangaroo_pocket.jpg,164,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/trendyol-colourblock-hoodie-with-kangaroo-pocket/p/469038493_mustard,mustard,Women,
TRENDYOL Colourblock Crew-Neck Sweatshirt,1999,Clothing,Sweatshirt & Hoodies,https://assets.ajio.com/medias/sys_master/root/20210903/qJvb/61312d14aeb269a268883242/trendyol_black_colourblock_crew-neck_sweatshirt.jpg,153,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/trendyol-colourblock-crew-neck-sweatshirt/p/460996173_black,black,Women,
Wknd V-Neck T-Shirt with Ribbed Hem,1299,Clothing,Tshirts,https://assets.ajio.com/medias/sys_master/root/20230724/OZ26/64be9d52eebac147fc84ef92/wknd_red_v-neck_t-shirt_with_ribbed_hem.jpg,277,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/wknd-v-neck-t-shirt-with-ribbed-hem/p/469356245_coral,coral,Women,
Koton Floral Print Belted A-Line Dress,2099,Clothing,Dresses,https://assets.ajio.com/medias/sys_master/root/20221008/DApv/63407522aeb269659c2b7813/koton_pink_floral_print_belted_a-line_dress.jpg,235,Elegant dress with a flattering silhouette — perfect for any occasion.,https://www.ajio.com/koton-floral-print-belted-a-line-dress/p/469253050_pink,pink,Women,
TRENDYOL Graphic Print Crew-Neck Sweatshirt,1999,Clothing,Sweatshirt & Hoodies,https://assets.ajio.com/medias/sys_master/root/20211019/kxXy/616ddc81aeb26901109aaed2/trendyol_navy_blue_graphic_print_crew-neck_sweatshirt.jpg,228,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/trendyol-graphic-print-crew-neck-sweatshirt/p/469038656_navy,navy,Women,
Crosshatch Typographic Print Crew-Neck T-shirt,1099,Clothing,Tshirts,https://assets.ajio.com/medias/sys_master/root/20221012/6quL/6346d433aeb269659c3fcda9/crosshatch_white_typographic_print_crew-neck_t-shirt.jpg,371,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/crosshatch-typographic-print-crew-neck-t-shirt/p/469036527_white,white,Women,
Xint Floral Print A-Line Dress,2499,Clothing,Dresses,https://assets.ajio.com/medias/sys_master/root/20230914/MyRr/65032e20afa4cf41f5e548ea/xint_yellow_floral_print_a-line_dress.jpg,200,Elegant dress with a flattering silhouette — perfect for any occasion.,https://www.ajio.com/xint-floral-print-a-line-dress/p/469396159_yellow,yellow,Women,
Crosshatch Crew-Neck Cotton T-shirt with Patch Pocket,1399,Clothing,Tshirts,https://assets.ajio.com/medias/sys_master/root/20221012/clL0/6346d671f997ddfdbd239a48/crosshatch_burgundy_crew-neck_cotton_t-shirt_with_patch_pocket.jpg,311,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/crosshatch-crew-neck-cotton-t-shirt-with-patch-pocket/p/469192362_burgundy,burgundy,Women,
Y-LONDON Fitted Wrap Top with Tie-Up,1899,Clothing,Tops,https://assets.ajio.com/medias/sys_master/root/20230102/FZuT/63b2f6b8f997ddfdbd0a26f3/y-london_fuchsia_fitted_wrap_top_with_tie-up.jpg,158,"Trendy top with a chic design — pairs well with jeans, skirts, or palazzos.",https://www.ajio.com/y-london-fitted-wrap-top-with-tie-up/p/469371739_fuchsia,fuchsia,Women,
I Saw It First Sheath Dress with Sweatheart Neck,2499,Clothing,Dresses,https://assets.ajio.com/medias/sys_master/root/20230110/BVKW/63bd77f0f997dd708efb97f6/i_saw_it_first_purple_sheath_dress_with_sweatheart_neck.jpg,270,Elegant dress with a flattering silhouette — perfect for any occasion.,https://www.ajio.com/i-saw-it-first-sheath-dress-with-sweatheart-neck/p/469180031_lilac,lilac,Women,
Y-LONDON Panneled A-Line Dress with Waist Belt,2899,Clothing,Dresses,https://assets.ajio.com/medias/sys_master/root/20221115/VYob/6373b891aeb269659c8f3548/y-london_mustard_panneled_a-line_dress_with_waist_belt.jpg,285,Elegant dress with a flattering silhouette — perfect for any occasion.,https://www.ajio.com/y-london-panneled-a-line-dress-with-waist-belt/p/469371985_taupe,taupe,Women,
Oxxo Elasticated Drawstring Pants with Slits,2299,Clothing,Trousers & Pants,https://assets.ajio.com/medias/sys_master/root/20221125/8l19/6380d5cef997ddfdbd9daee2/oxxo_midnight_blue_elasticated_drawstring_pants_with_slits.jpg,270,Well-tailored trousers with a clean finish — ideal for formal and semi-formal occasions.,https://www.ajio.com/oxxo-elasticated-drawstring-pants-with-slits/p/469291280_midnight,midnight,Women,
Y-LONDON Printed V-Neck A-Line Dress,2299,Clothing,Dresses,https://assets.ajio.com/medias/sys_master/root/20240318/fg6F/65f856fb16fd2c6e6a675bb1/y-london_white_printed_v-neck_a-line_dress.jpg,305,Elegant dress with a flattering silhouette — perfect for any occasion.,https://www.ajio.com/y-london-printed-v-neck-a-line-dress/p/469371919_multi,multi,Women,
Lyle & Scott Crew-Neck Jumper with Logo Applique,3999,Clothing,Sweaters & Cardigans,https://assets.ajio.com/medias/sys_master/root/20230914/TTW2/650344a0ddf7791519d9f18d/lyle_%26_scott_victory_orange_crew-neck_jumper_with_logo_applique.jpg,253,Premium quality Sweaters & Cardigans at an unbeatable discounted price — grab it before stock runs out.,https://www.ajio.com/lyle--scott-crew-neck-jumper-with-logo-applique/p/469290352_orange,orange,Women,
Oxxo Typographic Print Slim Fit Crop Top,1199,Clothing,Tops,https://assets.ajio.com/medias/sys_master/root/20230518/ze3y/646660a642f9e729d798c408/oxxo_pink_typographic_print_slim_fit_crop_top.jpg,368,"Trendy top with a chic design — pairs well with jeans, skirts, or palazzos.",https://www.ajio.com/oxxo-typographic-print-slim-fit-crop-top/p/469151092_ltpink,ltpink,Women,
Sateen Striped Shirt with Spread Collar,2199,Clothing,Shirts,https://assets.ajio.com/medias/sys_master/root/20211202/SXcS/61a7c407aeb2690110e9b31e/sateen_multicoloured_striped_shirt_with_spread_collar.jpg,370,Classic regular-fit shirt with clean collar — versatile for both office and casual outings.,https://www.ajio.com/sateen-striped-shirt-with-spread-collar/p/469049799_beige,beige,Women,
Xint Crew-Neck Crop Top,1399,Clothing,Tops,https://assets.ajio.com/medias/sys_master/root/20230914/xOSh/650321ecafa4cf41f5e50181/xint_black_crew-neck_crop_top.jpg,359,"Trendy top with a chic design — pairs well with jeans, skirts, or palazzos.",https://www.ajio.com/xint-crew-neck-crop-top/p/469490524_black,black,Women,
